번호,요구사항ID,대상,채널,대분류,세부기능,기능명,기능 설명,A/B 통합,우선순위,구현단계,수용기준,예외/비고,원본참조
1,K-001,고객,키오스크,공통 화면,대기/진입,대기화면 광고/이벤트 배너,"주문이 없을 때 행사 이미지, 신메뉴, 매장 공지, 접근성 안내를 순환 표시한다.",A: 본점 공통 배너 / B: 지점별 배너,P1,2차,"관리자가 등록한 배너가 시작일/종료일 기준으로 노출되고, 주문 시작 시 즉시 메뉴 화면으로 전환된다.",이미지 미등록 시 기본 배경 표시,"원본 6, 32"
2,K-002,고객,키오스크,공통 화면,언어,언어 선택,"한국어, 영어, 일본어를 선택할 수 있고 선택한 언어가 주문 완료 전까지 유지된다.",A: 기본 한국어 / B: 다국어,P1,2차,"언어 변경 시 카테고리, 메뉴명, 안내 문구, 결제 안내가 함께 변경된다.",번역 미등록 메뉴는 한국어로 대체 표시,원본 15
3,K-003,고객,키오스크,공통 화면,접근성,큰 글씨/고대비 모드,"고령자와 시력이 약한 사용자를 위해 큰 글씨, 고대비, 버튼 간격 확대 모드를 제공한다.",A: 일반 화면 / B: 접근성 화면,P2,3차,접근성 모드 선택 시 주요 버튼 크기와 글자 크기가 확대된다.,키오스크 실사용성 향상 요소,추가
4,K-004,고객,키오스크,공통 화면,직원 호출,직원 호출 버튼,"결제 오류, 주문 도움, 품절 문의 상황에서 직원을 호출할 수 있는 버튼을 제공한다.",A: 주문 화면 호출 / B: 결제 실패 호출,P1,2차,호출 버튼 클릭 시 지점 관리자 화면에 알림이 생성된다.,알림음/알림 팝업은 지점 설정에서 조정,추가
5,K-005,고객,키오스크,메뉴,카테고리,카테고리 선택,"이달의 맛, 아이스크림, 프리팩, 아이스크림 케이크, 디저트, 음료, 커피 등 카테고리를 선택한다.",A: 고정 카테고리 / B: 관리자 변경 카테고리,P0,1차,선택한 카테고리에 속한 판매 가능 메뉴만 목록에 표시된다.,카테고리 순서는 관리자 설정 반영,원본 7
6,K-006,고객,키오스크,메뉴,목록,메뉴판 표시,"메뉴 이미지, 이름, 가격, 행사 여부, 품절 여부를 카드 형태로 표시한다.",A: 기본 메뉴판 / B: 행사 메뉴판,P0,1차,"품절 메뉴는 선택 불가 상태로 보이고, 판매중 메뉴만 장바구니에 담을 수 있다.",이미지 없는 메뉴는 기본 이미지 표시,"원본 8, 43"
7,K-007,고객,키오스크,메뉴,검색/필터,메뉴 검색 및 필터,"키워드 검색, 신메뉴, 인기순, 가격순, 품절 제외 필터를 제공한다.",A: 카테고리 탐색 / B: 검색 탐색,P2,3차,검색어 입력 시 일치하는 메뉴가 즉시 필터링된다.,키오스크 화면에서는 키보드 UI 필요,추가
8,K-008,고객,키오스크,메뉴,상세,메뉴 상세 정보,"메뉴 설명, 알레르기 정보, 영양 정보, 원산지, 옵션 선택 영역을 표시한다.",A: 간단 상세 / B: 영양·알레르기 포함 상세,P1,2차,상세 화면에서 필수 옵션 선택 전까지 장바구니 담기 버튼이 비활성화된다.,알레르기 정보는 안전 관련 항목,원본 9 보완
9,K-009,고객,키오스크,메뉴,옵션,콘/컵/사이즈 선택,"싱글레귤러, 싱글킹, 더블주니어, 트리플주니어, 더블레귤러 등 옵션을 선택한다.",A: 콘/컵 옵션 / B: 사이즈 옵션,P0,1차,옵션별 추가금액이 총 주문금액에 즉시 반영된다.,필수 옵션 누락 시 안내 문구 표시,원본 9
10,K-010,고객,키오스크,메뉴,옵션,용기/패키지 선택,"파인트, 쿼터, 패밀리, 하프갤론 등 용기 메뉴의 패키지 옵션을 선택한다.",A: 단품 옵션 / B: 용기 옵션,P0,1차,선택 가능한 맛 개수와 선택 완료 여부가 화면에 표시된다.,맛 선택 수 제한 필요,원본 9
11,K-011,고객,키오스크,메뉴,옵션,맛 선택 제한,파인트/쿼터/패밀리 등 여러 맛을 담는 상품에서 선택 가능한 맛 개수를 제한한다.,A: 단일 맛 / B: 복수 맛,P0,1차,허용 개수보다 적거나 많으면 장바구니 담기가 차단된다.,실제 아이스크림 키오스크 핵심 로직,추가
12,K-012,고객,키오스크,메뉴,옵션,토핑/추가 옵션,"토핑, 스푼, 초, 드라이아이스 추가 여부 등 부가 옵션을 선택한다.",A: 무료 옵션 / B: 유료 추가 옵션,P2,3차,유료 옵션 선택 시 가격이 합산되고 주문 상세에 표시된다.,옵션 재고와 연동 가능,추가
13,K-013,고객,키오스크,장바구니,담기,장바구니 담기,"선택한 메뉴, 옵션, 수량, 가격을 장바구니에 담는다.",A: 신규 담기 / B: 동일 옵션 수량 합치기,P0,1차,동일 메뉴와 동일 옵션은 수량 증가로 합산 표시된다.,구매 전 상태 표시,원본 17
14,K-014,고객,키오스크,장바구니,수정,장바구니 수정/삭제,"장바구니에서 수량 변경, 옵션 재선택, 항목 삭제가 가능하다.",A: 수량 변경 / B: 항목 삭제,P0,1차,수정 즉시 총 결제금액이 재계산된다.,결제 진입 후에는 이전 단계로 돌아가 수정,원본 17 보완
15,K-015,고객,키오스크,장바구니,추천,추가 구매 추천,"장바구니 기준으로 음료, 디저트, 행사 상품을 추천한다.",A: 단순 추천 / B: 장바구니 기반 추천,P2,3차,추천 상품을 클릭하면 옵션 선택 후 장바구니에 담긴다.,매출 향상 요소,추가
16,K-016,고객,키오스크,주문,이용방식,매장/포장 선택,매장 이용 또는 포장을 선택하고 주문서에 이용방식을 저장한다.,A: 매장 / B: 포장,P0,1차,선택한 이용방식이 영수증과 주문관리 화면에 표시된다.,PC/모바일은 주소 또는 픽업 매장 정보와 연결,원본 11
17,K-017,고객,키오스크,주문,포장,드라이아이스 선택,포장 선택 시 이동시간에 따른 드라이아이스 양을 선택한다.,A: 기본 제공 / B: 이동시간별 추가,P1,2차,이동시간 선택에 따라 제공량 또는 추가금액이 주문 상세에 표시된다.,매장 정책에 따라 무료/유료 설정,원본 11
18,K-018,고객,키오스크,주문,회원/비회원,비회원 주문,로그인 없이 주문할 수 있으며 주문번호와 결제정보만으로 주문 확인이 가능하다.,A: 비회원 / B: 회원,P0,1차,비회원 주문은 개인정보 입력 없이 결제와 주문번호 발급이 완료된다.,키오스크 기본 흐름은 비회원 중심 권장,추가
19,K-019,고객,키오스크,주문,회원/비회원,회원 적립 연결,전화번호 입력 또는 앱 QR 스캔으로 회원 적립을 연결한다.,A: 전화번호 적립 / B: QR 적립,P1,2차,유효한 회원이면 포인트 적립 예정 금액이 주문 확인 화면에 표시된다.,PC/모바일은 로그인 상태에서 자동 적립,원본 10
20,K-020,고객,키오스크,주문,쿠폰,쿠폰 적용,"앱 쿠폰 QR, 번호 쿠폰, 행사 쿠폰을 결제 전 적용한다.",A: QR 쿠폰 / B: 번호 쿠폰,P1,2차,중복 불가 쿠폰은 하나만 적용되고 할인 금액이 총액에서 차감된다.,쿠폰 정책 테이블 필요,원본 10
21,K-021,고객,키오스크,주문,주문확인,최종 주문 확인,"결제 전 메뉴, 옵션, 수량, 할인, 적립, 최종 금액을 확인한다.",A: 일반 확인 / B: 할인·적립 포함 확인,P0,1차,확인 버튼 전까지 결제가 진행되지 않는다.,결제 직전 핵심 화면,추가
22,K-022,고객,키오스크,결제,결제수단,결제 타입 선택,"카드, 간편결제, QR결제 등 사용 가능한 결제수단을 선택한다.",A: 카드 결제 / B: 간편 결제,P0,1차,결제수단 선택 후 PG 또는 단말기 결제 단계로 이동한다.,토스/PG API 사용 가능,원본 12
23,K-023,고객,키오스크,결제,승인,결제 승인 처리,"결제 요청, 승인 성공, 승인 실패, 취소 응답을 주문 상태와 연동한다.",A: 승인 성공 / B: 승인 실패·재시도,P0,1차,"결제 성공 시 주문 생성, 결제 실패 시 주문 미생성 또는 대기 상태로 처리한다.",결제 로그 저장 필수,원본 12 보완
24,K-024,고객,키오스크,결제,실패처리,결제 실패 안내/재시도,결제 실패 사유를 사용자가 이해할 수 있게 표시하고 재시도 또는 장바구니 복귀를 제공한다.,A: 재시도 / B: 주문취소,P0,1차,실패 시 중복 주문과 중복 결제가 발생하지 않아야 한다.,실사용에서 가장 많이 필요한 예외 처리,추가
25,K-025,고객,키오스크,영수증,발급,결제 실패 안내/재시도,"종이영수증, 전자영수증, 미발급 중 선택할 수 있다.",A: 종이영수증 / B: 전자영수증,P1,2차,선택한 방식에 따라 프린터 출력 또는 QR/문자 안내가 진행된다.,PC/모바일은 전자영수증 중심,원본 13
26,K-026,고객,키오스크,주문완료,번호,주문번호 발급,결제 완료 후 지점별 당일 주문번호를 발급하고 화면에 크게 표시한다.,A: 숫자형 호출번호 / B: 전체 주문식별번호,P0,1차,"주문번호는 주문관리 화면, 영수증, 고객 완료 화면에 동일하게 표시된다.",내부 DB용 주문ID와 고객용 호출번호 분리 권장,원본 14
27,K-027,고객,키오스크,주문완료,안내,픽업 안내 화면,"주문 완료 후 주문번호, 예상 대기시간, 픽업 위치, 유의사항을 표시한다.",A: 일반 완료 / B: 대기시간 포함 완료,P1,2차,완료 화면에서 일정 시간이 지나면 대기화면으로 자동 복귀된다.,대기시간은 지점 설정 또는 주문량 기반,추가
28,K-028,고객,키오스크,주문완료,상태,주문 상태 표시,"주문 접수, 제조중, 픽업대기, 완료 상태를 고객 화면 또는 별도 대기화면에 표시한다.",A: 키오스크 완료화면 / B: 대기번호 표시판,P2,3차,직원이 상태를 변경하면 고객용 상태 화면에 반영된다.,키오스크 단독이면 완료 화면만 가능,원본 14 보완
29,K-029,고객,키오스크,예외,시간초과,미입력 시간초과 처리,일정 시간 입력이 없으면 경고 후 장바구니를 초기화하고 대기화면으로 돌아간다.,A: 경고 후 연장 / B: 자동 초기화,P0,1차,시간초과 전 남은 시간을 표시하고 사용자가 연장할 수 있다.,개인정보/결제정보 노출 방지,추가
30,K-030,고객,키오스크,예외,장애,키오스크 점검/오프라인 안내,"네트워크, 결제단말기, 프린터 장애 시 주문 가능 여부와 직원 문의 안내를 표시한다.",A: 부분 장애 / B: 전체 점검,P1,2차,필수 장치 장애 시 결제 진입을 차단하고 관리자에게 알림을 보낸다.,운영 안정성 요소,추가
31,U-031,고객,PC/모바일,회원,가입,일반 회원가입,"아이디, 비밀번호, 닉네임, 주소, 휴대폰번호, 이메일을 입력해 회원가입한다.",A: 일반 가입 / B: SNS 가입,P1,2차,아이디와 닉네임은 중복될 수 없고 비밀번호 정책을 통과해야 한다.,주소 API 사용 권장,원본 1
32,U-032,고객,PC/모바일,회원,가입,SNS 회원가입/로그인,카카오 등 외부 계정으로 가입 및 로그인한다.,A: 일반 로그인 / B: SNS 로그인,P2,3차,SNS 인증 성공 시 기존 회원과 연결하거나 신규 회원을 생성한다.,OAuth API 연동,원본 2
33,U-033,고객,PC/모바일,회원,인증,로그인/로그아웃,아이디와 비밀번호로 로그인하고 세션 또는 토큰을 발급한다.,A: 로그인 / B: 로그아웃,P1,2차,로그인 성공 시 마이페이지와 주문내역 접근이 가능하다.,키오스크는 기본적으로 비회원 중심,"원본 3, 23"
34,U-034,고객,PC/모바일,회원,찾기,아이디 찾기,이메일 인증번호 확인 후 가입된 아이디 일부 또는 전체를 안내한다.,A: 이메일 인증 / B: 휴대폰 인증,P2,3차,인증번호가 일치하고 유효시간 이내일 때만 아이디를 표시한다.,개인정보 마스킹 권장,원본 4
35,U-035,고객,PC/모바일,회원,찾기,비밀번호 재설정,아이디와 이메일 인증 후 임시 비밀번호 발급 또는 새 비밀번호 설정을 제공한다.,A: 임시 비밀번호 / B: 새 비밀번호 설정,P2,3차,재설정 완료 후 기존 세션은 만료 처리된다.,비밀번호 원문 저장 금지,원본 5
36,U-036,고객,PC/모바일,마이페이지,홈,사용자 홈,"아이디, 닉네임, 보유 쿠폰, 적립 포인트, 최근 주문을 요약 표시한다.",A: 기본 정보 / B: 주문·혜택 요약,P2,3차,로그인 사용자는 마이페이지 진입 시 본인 정보만 조회한다.,PC/모바일 전용,원본 18
37,U-037,고객,PC/모바일,마이페이지,수정,회원정보 수정,"닉네임, 주소, 이메일, 휴대폰번호를 수정한다.",A: 일반 정보 수정 / B: 배송지 수정,P2,3차,중복 닉네임과 잘못된 연락처 형식은 저장되지 않는다.,변경 이력 로그 가능,원본 19
38,U-038,고객,PC/모바일,마이페이지,주문,이전 구매 내역,"과거 주문 이력, 결제금액, 주문상태, 영수증을 조회한다.",A: 목록 조회 / B: 상세 조회,P2,3차,사용자는 본인의 주문만 조회할 수 있다.,비회원 주문조회는 주문번호+인증값 필요,원본 21
39,U-039,고객,PC/모바일,마이페이지,장바구니,저장 장바구니,로그인 사용자의 장바구니를 서버에 저장하고 재접속 시 복원한다.,A: 키오스크 일회성 / B: PC·모바일 저장형,P2,3차,동일 회원이 다시 접속해도 담아둔 상품이 유지된다.,품절/가격 변경 시 안내,원본 20
40,U-040,고객,PC/모바일,주문,배달,배달 주문,주소 기반으로 배달 가능 매장을 찾고 배달 주문을 생성한다.,A: 포장/픽업 / B: 배달,P2,3차,배달 불가 지역이면 주문 진행이 차단된다.,키오스크에는 표시하지 않음,원본 16
41,U-041,고객,PC/모바일,주문,배달,배달 상태 조회,"접수, 제조중, 배달중, 배달완료 상태를 표시한다.",A: 매장 픽업 상태 / B: 배달 상태,P2,3차,지점 또는 배달 관리자가 상태를 변경하면 사용자 화면에 반영된다.,실시간까지는 아니어도 새로고침 기반 가능,원본 16
42,U-042,고객,PC/모바일,매장,찾기,가까운 지점 찾기,"지도 또는 주소 검색으로 가까운 지점, 영업시간, 전화번호, 배달 가능 여부를 확인한다.",A: 목록 / B: 지도,P2,3차,선택한 지점 기준으로 주문 가능한 메뉴와 운영 상태가 표시된다.,지도 API 연동 가능,원본 35 보완
43,U-043,고객,PC/모바일,문의,고객센터,고객 문의,"사용자가 주문, 결제, 환불, 매장 관련 문의를 작성한다.",A: 일반 문의 / B: 주문 연결 문의,P2,3차,문의 등록 시 담당 지점 또는 본점에 문의가 배정된다.,매장과의 연락 기능 확장,원본 22
44,U-044,고객,PC/모바일,회원,탈퇴,회원 탈퇴,사용자가 회원 탈퇴를 요청하고 개인정보 보관 정책에 따라 비활성화 또는 삭제한다.,A: 비활성화 / B: 완전 삭제,P2,3차,탈퇴 후 로그인 불가 상태가 되며 보관 의무 데이터는 별도 처리된다.,주문/결제 기록은 법적 보관 가능,원본 24
45,B-045,지점 관리자,관리자 웹,계정,로그인,지점 관리자 로그인,본점이 발급한 지점 계정으로 관리자 페이지에 로그인한다.,A: 수동 로그인 / B: 자동 로그인 유지,P0,1차,권한이 지점 관리자일 때만 지점 관리 메뉴에 접근한다.,원본의 자동 로그인은 보안상 선택 기능으로 분리,원본 40
46,B-046,지점 관리자,관리자 웹,계정,권한,직원 권한 분리,"지점장, 직원, 제조 담당, 배달 담당 등 역할별 접근 메뉴를 제한한다.",A: 관리자 / B: 직원,P1,2차,직원 계정은 매출/개인정보 등 민감 메뉴에 접근하지 못한다.,고용 기능과 연결,"원본 47, 48 보완"
47,B-047,지점 관리자,관리자 웹,키오스크,장치,키오스크 장치 등록,"지점에 설치된 키오스크 장치ID, 위치, 상태를 등록한다.",A: 신규 등록 / B: 장치 비활성화,P1,2차,등록된 장치만 주문 API를 호출할 수 있다.,장치 인증/보안과 연결,추가
48,B-048,지점 관리자,관리자 웹,키오스크,상태,키오스크 상태 모니터링,"네트워크, 결제단말기, 프린터, 앱 버전, 마지막 접속 시간을 확인한다.",A: 정상 / B: 장애,P1,2차,장애 상태가 감지되면 관리자 화면에 알림이 표시된다.,운영 안정성,추가
49,B-049,지점 관리자,관리자 웹,주문,접수,실시간 주문 접수,키오스크/PC/모바일에서 들어온 주문을 한 화면에서 확인한다.,A: 키오스크 주문 / B: 온라인 주문,P0,1차,결제 완료 주문만 제조 대기 목록에 표시된다.,주문관리 핵심,원본 42
50,B-050,지점 관리자,관리자 웹,주문,상태,주문 상태 변경,"접수, 제조중, 픽업대기, 완료, 취소 상태를 변경한다.",A: 제조 상태 / B: 취소·환불 상태,P0,1차,상태 변경 시 고객 화면과 주문 이력에 반영된다.,상태 변경자 로그 저장,"원본 42, 46"
